,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,500",,1985,2012,읍내로4길,00018,00000,43760,01,0,4538587,괴산읍 동부리,0686,0005,43760,25021,1,괴산,1,21,43760-6,59.85,,686-5,43760,3,,
1,"3,500",,1991,2012,수진1길,00029,00000,43760,01,0,4538451,괴산읍 서부리,0090,0001,43760,25022,1,금석아파트,1,2,43760-1,52.2,,90-1,43760,4,,
2,"6,000",,1994,2012,읍내로13길,00041,00000,43760,01,0,4538576,괴산읍 서부리,0256,0000,43760,25022,1,송천,1,28,43760-3,84.91,,256,43760,6,,
3,"10,000",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,1,29,43760-5,84.9,,277-5,43760,7,,
4,"6,500",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,1,31,43760-5,60,,277-5,43760,5,,
0,"5,000",,1991,2012,금산길,00020,00000,43760,01,0,4538131,괴산읍 서부리,0510,0000,43760,25022,1,반석,2,11,43760-2,84.07,,510,43760,4,,
1,"1,900",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,2,20,43760-4,56.18,,125-1,43760,6,,
2,"1,800",,1994,2012,하산로,00217,00006,43760,01,0,3246035,불정면 목도리,0462,0003,43760,41021,1,목도,2,27,43760-7,32.67,,462-3,43760,3,,
3,"1,800",,1994,2012,하산로,00217,00006,43760,01,0,3246035,불정면 목도리,0462,0003,43760,41021,1,목도,2,28,43760-7,32.67,,462-3,43760,1,,
0,"6,200",,1985,2012,읍내로4길,00018,00000,43760,01,0,4538587,괴산읍 동부리,0686,0005,43760,25021,1,괴산,3,13,43760-6,58.23,,686-5,43760,3,,
1,"6,000",,1985,2012,읍내로4길,00018,00000,43760,01,0,4538587,괴산읍 동부리,0686,0005,43760,25021,1,괴산,3,30,43760-6,67.05,,686-5,43760,1,,
0,"2,600",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,4,11,43760-4,51.38,,125-1,43760,6,,
1,"8,500",,1994,2012,읍내로13길,00041,00000,43760,01,0,4538576,괴산읍 서부리,0256,0000,43760,25022,1,송천,4,19,43760-3,84.91,,256,43760,5,,
2,"7,400",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,4,19,43760-5,60,,277-5,43760,6,,
3,"7,500",,1991,2012,금산길,00020,00000,43760,01,0,4538131,괴산읍 서부리,0510,0000,43760,25022,1,반석,4,20,43760-2,84.07,,510,43760,4,,
4,"3,100",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,4,21,43760-4,56.18,,125-1,43760,1,,
0,"6,200",,1994,2012,읍내로13길,00041,00000,43760,01,0,4538576,괴산읍 서부리,0256,0000,43760,25022,1,송천,5,7,43760-3,59.685,,256,43760,5,,
1,"8,000",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,5,20,43760-5,60,,277-5,43760,8,,
2,"9,000",,1994,2012,읍내로13길,00041,00000,43760,01,0,4538576,괴산읍 서부리,0256,0000,43760,25022,1,송천,5,21,43760-3,84.91,,256,43760,12,,
0,"1,600",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,6,13,43760-4,56.18,,125-1,43760,6,,
1,"2,500",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,6,27,43760-4,59.7,,125-1,43760,6,,
2,"3,400",,1994,2012,하산로,00217,00006,43760,01,0,3246035,불정면 목도리,0462,0003,43760,41021,1,목도,6,18,43760-7,59.72,,462-3,43760,3,,
0,"7,950",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,9,20,43760-5,60,,277-5,43760,9,,
0,"3,200",,1994,2012,하산로,00217,00006,43760,01,0,3246035,불정면 목도리,0462,0003,43760,41021,1,목도,10,26,43760-7,59.72,,462-3,43760,3,,
0,"2,000",,1992,2012,임꺽정로,00086,00007,43760,01,0,3246025,괴산읍 서부리,0125,0001,43760,25022,1,월드,11,13,43760-4,56.18,,125-1,43760,5,,
1,"7,900",,1998,2012,읍내로4길,00051,00000,43760,01,0,4538587,괴산읍 서부리,0277,0005,43760,25022,1,태광아파트,11,21,43760-5,60,,277-5,43760,7,,
