,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1991,,,2012,온산읍 덕신리,300,무궁화,1,35,1,54.66,,,336-1,31710,5
1,,1992,,,2012,온산읍 덕신리,500,덕신주공,1,20,19,39.99,,,1329-5,31710,6
2,,1991,,,2012,온산읍 덕신리,"3,700",무궁화,1,0,19,54.66,,,336-1,31710,5
3,,1991,,,2012,온산읍 덕신리,"1,000",무궁화,1,30,30,54.66,,,336-1,31710,3
4,,1995,,,2012,언양읍 반송리,"5,000",반송대방타운,1,0,6,84.51,,,425-6,31710,10
5,,1994,,,2012,언양읍 반천리,"6,500",반천현대,1,0,3,84.89,,,1023-51,31710,15
6,,1994,,,2012,언양읍 반천리,"5,000",반천현대,1,0,5,84.89,,,1023-51,31710,7
7,,1994,,,2012,언양읍 반천리,"8,000",반천현대,1,0,13,84.89,,,1023-51,31710,3
8,,1995,,,2012,언양읍 반천리,"5,500",반천현대,1,0,26,59.75,,,1023-51,31710,6
9,,1994,,,2012,언양읍 반천리,"7,000",반천현대,1,0,27,84.89,,,1023-51,31710,4
10,,2003,,,2012,언양읍 어음리,"6,000",은석아시아드,1,0,16,84.87,,,477-11,31710,2
11,,2010,,,2012,언양읍 동부리,"9,000",신울산경남아너스빌,1,0,2,84.7195,,,498,31710,1
12,,2010,,,2012,언양읍 동부리,"12,500",신울산경남아너스빌,1,0,3,84.819,,,498,31710,16
13,,1999,,,2012,언양읍 동부리,"3,000",언양동부주공,1,0,3,49.85,,,360-1,31710,5
14,,2010,,,2012,언양읍 동부리,"10,000",신울산경남아너스빌,1,0,4,84.7195,,,498,31710,6
15,,2001,,,2012,언양읍 동부리,"6,000",유림빌라,1,0,7,84.72,,,375-5,31710,1
16,,1999,,,2012,언양읍 동부리,"2,500",언양동부주공,1,30,10,49.85,,,360-1,31710,14
17,,2010,,,2012,언양읍 동부리,"9,000",신울산경남아너스빌,1,0,10,84.7195,,,498,31710,1
18,,2010,,,2012,언양읍 동부리,"1,000",신울산경남아너스빌,1,55,11,84.7195,,,498,31710,3
19,,2010,,,2012,언양읍 동부리,"12,000",신울산경남아너스빌,1,0,11,84.819,,,498,31710,10
20,,1997,,,2012,언양읍 동부리,"7,000",대승하이츠빌라1차,1,0,16,84.75,,,252-6,31710,2
21,,2010,,,2012,언양읍 동부리,"4,000",신울산경남아너스빌,1,50,17,84.7195,,,498,31710,5
22,,2010,,,2012,언양읍 동부리,"11,000",신울산경남아너스빌,1,0,20,84.7195,,,498,31710,16
23,,2009,,,2012,언양읍 서부리,"13,000",두산위브,1,0,2,84.947,,,401,31710,3
24,,1996,,,2012,언양읍 서부리,"6,500",삼성아파트,1,0,3,59.91,,,236,31710,16
25,,2002,,,2012,언양읍 서부리,"8,000",이즈빌A,1,0,8,84.445,,,247-11,31710,4
26,,2000,,,2012,언양읍 서부리,"1,000",근훈하나원룸,1,25,16,45.08,,,242-3,31710,5
27,,1981,,,2012,언양읍 서부리,"1,000",언양맨션,1,25,18,42.72,,,177-1,31710,2
28,,1996,,,2012,언양읍 서부리,"7,000",삼성아파트,1,0,19,59.91,,,236,31710,6
29,,2009,,,2012,언양읍 서부리,"13,000",두산위브,1,0,20,84.947,,,401,31710,7
30,,2000,,,2012,언양읍 서부리,"1,500",근훈하나원룸,1,10,22,45.08,,,242-3,31710,4
31,,1998,,,2012,온양읍 대안리,"8,000",울산온양대우,1,0,2,59.95,,,196,31710,13
32,,1998,,,2012,온양읍 대안리,"7,000",울산온양대우,1,10,5,59.95,,,196,31710,8
33,,1991,,,2012,온양읍 대안리,"8,000",동호대안맨션,1,0,6,78.68,,,568-2,31710,10
34,,1998,,,2012,온양읍 대안리,"9,300",울산온양대우,1,0,6,59.95,,,196,31710,1
35,,1998,,,2012,온양읍 대안리,"11,000",울산온양대우,1,0,9,71.819,,,196,31710,2
36,,1993,,,2012,온양읍 대안리,"11,000",대안IPARK,1,0,13,84.86,,,542,31710,6
37,,1993,,,2012,온양읍 대안리,"1,000",미도파,1,50,28,59.76,,,417,31710,7
38,,1992,,,2012,온양읍 대안리,"2,000",석영타워,1,40,29,69.63,,,563-7,31710,4
39,,1998,,,2012,온양읍 대안리,"1,000",울산온양대우,1,55,30,59.95,,,196,31710,4
40,,1998,,,2012,온양읍 대안리,"7,500",울산온양대우,1,0,30,59.95,,,196,31710,15
41,,1993,,,2012,온양읍 대안리,"7,000",한그린,1,0,31,58.59,,,409-3,31710,2
42,,2000,,,2012,온양읍 망양리,"2,800",회야리버,1,0,10,39.715,,,가-5-1,31710,10
43,,2000,,,2012,온양읍 망양리,"3,000",회야리버,1,0,10,39.715,,,가-5-1,31710,5
44,,2000,,,2012,온양읍 망양리,"1,000",회야리버,1,20,13,39.715,,,가-5-1,31710,7
45,,2000,,,2012,온양읍 망양리,"1,000",회야리버,1,25,13,45.073,,,가-5-1,31710,7
46,,2000,,,2012,온양읍 망양리,"1,000",회야리버,1,20,13,39.715,,,가-5-1,31710,5
47,,2000,,,2012,온양읍 망양리,"1,000",회야리버,1,25,20,45.073,,,가-5-1,31710,12
48,,2000,,,2012,온양읍 망양리,500,회야리버,1,25,27,45.073,,,가-5-1,31710,1
49,,1992,,,2012,온양읍 운화리,"3,000",태영그린,1,20,9,59.28,,,8-7,31710,2
50,,1992,,,2012,온양읍 운화리,"10,000",위드(106동),1,0,27,76.845,,,163-30,31710,4
51,,2001,,,2012,범서읍 천상리,"8,500",경동태원하이빌,1,0,1,59.961,,,324-2,31710,5
52,,2001,,,2012,범서읍 천상리,"6,800",천상국태그린빌,1,0,2,49.98,,,605,31710,9
53,,1999,,,2012,범서읍 천상리,"10,000",벽산,1,0,3,59.925,,,666-1,31710,14
54,,2001,,,2012,범서읍 천상리,"6,500",천상국태그린빌,1,0,3,49.98,,,605,31710,9
55,,2000,,,2012,범서읍 천상리,"11,000",청구(천상그린타운)2차,1,0,3,84.86,,,574-1,31710,2
56,,2001,,,2012,범서읍 천상리,"1,000",천상국태그린빌,1,45,5,49.936,,,605,31710,6
57,,1999,,,2012,범서읍 천상리,"13,000",벽산,1,0,10,84.99,,,666-1,31710,16
58,,2001,,,2012,범서읍 천상리,500,경동태원하이빌,1,50,11,59.961,,,324-2,31710,4
59,,1998,,,2012,범서읍 천상리,"15,000",천상동아,1,0,12,129.42,,,299-1,31710,9
60,,2000,,,2012,범서읍 천상리,"3,000",청구(천상그린타운)2차,1,50,13,77.28,,,574-1,31710,3
61,,1998,,,2012,범서읍 천상리,"8,000",천상동아,1,0,13,84.74,,,299-1,31710,1
62,,1999,,,2012,범서읍 천상리,"8,000",그린코아,1,0,13,59.22,,,600,31710,3
63,,1998,,,2012,범서읍 천상리,"9,000",청구(천상그린타운)1차,1,0,14,59.84,,,578,31710,16
64,,1999,,,2012,범서읍 천상리,"9,500",벽산,1,0,14,59.925,,,666-1,31710,6
65,,2001,,,2012,범서읍 천상리,"5,500",경동태원하이빌,1,0,15,39.69,,,324-2,31710,16
66,,1998,,,2012,범서읍 천상리,"7,500",천상극동,1,0,16,59.94,,,259-5,31710,3
67,,2001,,,2012,범서읍 천상리,"9,000",경동태원하이빌,1,0,16,59.961,,,324-2,31710,15
68,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,1,0,16,59.961,,,324-2,31710,16
69,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,1,0,16,59.961,,,324-2,31710,10
70,,1997,,,2012,범서읍 천상리,"10,000",디아채,1,0,17,73.85,,,645,31710,5
71,,1998,,,2012,범서읍 천상리,"10,500",청구(천상그린타운)1차,1,0,17,84.86,,,578,31710,12
72,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,1,0,17,59.961,,,324-2,31710,17
73,,1998,,,2012,범서읍 천상리,"9,400",청구(천상그린타운)1차,1,0,19,59.84,,,578,31710,9
74,,1999,,,2012,범서읍 천상리,"3,000",그린코아,1,20,23,52.1,,,600,31710,3
75,,1998,,,2012,범서읍 천상리,"11,000",한라그린피스,1,0,26,73.8,,,646,31710,9
76,,1997,,,2012,범서읍 천상리,"11,000",디아채,1,10,28,84.99,,,645,31710,17
77,,1998,,,2012,범서읍 천상리,"7,000",천상동아,1,0,28,59.67,,,299-1,31710,1
78,,2008,,,2012,범서읍 천상리,"16,000",천상필그린아트리움,1,0,30,84.9275,,,300-3,31710,3
79,,2001,,,2012,범서읍 천상리,"6,000",천상국태그린빌,1,0,30,49.98,,,605,31710,9
80,,1998,,,2012,범서읍 천상리,"11,000",청구(천상그린타운)1차,1,0,30,84.86,,,578,31710,9
81,,1998,,,2012,범서읍 천상리,"9,000",천상동아,1,0,31,59.67,,,299-1,31710,7
82,,2008,,,2012,범서읍 굴화리,"18,500",월드메르디앙,1,0,9,84.5519,,,353,31710,4
83,,2002,,,2012,범서읍 굴화리,"20,000",강변그린빌(6-1),1,0,17,84.54,,,6-1,31710,4
84,,2002,,,2012,범서읍 굴화리,"15,000",강변그린빌(6-1),1,0,19,59.06,,,6-1,31710,6
85,,2008,,,2012,범서읍 굴화리,"24,000",월드메르디앙,1,0,20,84.5519,,,353,31710,17
86,,2008,,,2012,범서읍 굴화리,"27,000",월드메르디앙,1,0,26,110.5006,,,353,31710,11
87,,1991,,,2012,범서읍 구영리,"8,500",구영현대아이파크,1,0,2,58.62,,,798-1,31710,12
88,,2007,,,2012,범서읍 구영리,"2,012",구영2주공,1,16,3,46.9,,,855-2,31710,2
89,,2007,,,2012,범서읍 구영리,"16,000",풍경채,1,0,3,84.8999,,,208,31710,3
90,,1993,,,2012,범서읍 구영리,"5,000",범서현대3차,1,25,4,58.05,,,799-5,31710,17
91,,1992,,,2012,범서읍 구영리,"8,000",동양아트,1,0,4,59.1,,,1008,31710,7
92,,2007,,,2012,범서읍 구영리,"18,000",동문굿모닝힐,1,0,4,68.0293,,,205,31710,9
93,,2007,,,2012,범서읍 구영리,"13,000",구영1차우미린,1,0,5,67.925,,,204-1,31710,2
94,,2007,,,2012,범서읍 구영리,"20,000",풍경채,1,0,5,84.8999,,,208,31710,20
95,,1994,,,2012,범서읍 구영리,"6,000",한신,1,30,6,79.32,,,796-2,31710,17
96,,2007,,,2012,범서읍 구영리,"10,000",구영2차푸르지오,1,30,6,70.73,,,209-1,31710,6
97,,2006,,,2012,범서읍 구영리,"19,500",구영지구푸르지오2단지,1,0,6,84.995,,,371,31710,2
98,,1992,,,2012,범서읍 구영리,"6,500",현대2차,1,35,7,71.115,,,870,31710,9
99,,1994,,,2012,범서읍 구영리,"9,500",한신,1,0,7,57.9,,,796-2,31710,13
100,,2007,,,2012,범서읍 구영리,"16,000",동문굿모닝힐,1,0,8,69.7496,,,205,31710,3
101,,1993,,,2012,범서읍 구영리,"12,500",일신파크맨션,1,0,9,84.9,,,840,31710,20
102,,1994,,,2012,범서읍 구영리,"11,500",한신,1,0,9,79.32,,,796-2,31710,4
103,,2007,,,2012,범서읍 구영리,"20,000",호반베르디움,1,0,9,84.3181,,,211-1,31710,14
104,,2007,,,2012,범서읍 구영리,"17,500",구영1차우미린,1,0,11,67.925,,,204-1,31710,10
105,,2007,,,2012,범서읍 구영리,"18,000",구영2차푸르지오,1,0,11,84.84,,,209-1,31710,15
106,,2007,,,2012,범서읍 구영리,"24,000",구영1차우미린,1,0,11,123.5365,,,204-1,31710,15
107,,2007,,,2012,범서읍 구영리,"16,000",구영1차우미린,1,0,12,67.925,,,204-1,31710,16
108,,2007,,,2012,범서읍 구영리,"7,000",호반베르디움,1,50,13,71.0548,,,211-1,31710,8
109,,1993,,,2012,범서읍 구영리,"2,000",범서현대3차,1,45,14,58.05,,,799-5,31710,19
110,,2007,,,2012,범서읍 구영리,"17,000",풍경채,1,0,15,63.8628,,,208,31710,15
111,,1994,,,2012,범서읍 구영리,"10,500",한신,1,0,16,79.32,,,796-2,31710,1
112,,2007,,,2012,범서읍 구영리,"2,577",구영2주공,1,8,16,46.9,,,855-2,31710,13
113,,2007,,,2012,범서읍 구영리,"20,000",구영2차푸르지오,1,0,16,84.7,,,209-1,31710,7
114,,2007,,,2012,범서읍 구영리,"20,000",구영1차우미린,1,0,17,83.7673,,,204-1,31710,7
115,,2007,,,2012,범서읍 구영리,"8,000",구영2차푸르지오,1,40,19,84.7,,,209-1,31710,4
116,,2006,,,2012,범서읍 구영리,"19,000",구영지구푸르지오1단지,1,0,21,84.995,,,370-1,31710,5
117,,1993,,,2012,범서읍 구영리,"5,000",일신파크맨션,1,0,25,59.676,,,840,31710,10
118,,1992,,,2012,범서읍 구영리,"1,000",현대2차,1,55,26,59.205,,,870,31710,9
119,,1995,,,2012,범서읍 구영리,"8,000",서영골든,1,0,27,57.5,,,807-8,31710,8
120,,2007,,,2012,범서읍 구영리,"12,000",동문굿모닝힐,1,0,27,68.0293,,,205,31710,13
121,,2007,,,2012,범서읍 구영리,"2,500",구영2주공,1,8,27,46.9,,,855-2,31710,3
122,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,27,46.9,,,855-2,31710,9
123,,2007,,,2012,범서읍 구영리,"19,000",호반베르디움,1,0,27,84.3181,,,211-1,31710,3
124,,2007,,,2012,범서읍 구영리,"19,500",구영2차우미린,1,0,27,74.9978,,,207-1,31710,3
125,,1991,,,2012,범서읍 구영리,"9,800",구영현대아이파크,1,0,28,58.62,,,798-1,31710,2
126,,2007,,,2012,범서읍 구영리,"19,000",구영2차푸르지오,1,0,28,71.94,,,209-1,31710,12
127,,2007,,,2012,범서읍 구영리,"18,000",구영2차푸르지오,1,0,28,84.7,,,209-1,31710,16
128,,2007,,,2012,범서읍 구영리,"20,000",구영1차우미린,1,0,28,83.3113,,,204-1,31710,9
129,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,15
130,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,9
131,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,2
132,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,5
133,,2007,,,2012,범서읍 구영리,"6,000",호반베르디움,1,40,30,71.0548,,,211-1,31710,10
134,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,7
135,,2007,,,2012,범서읍 구영리,"2,577",구영2주공,1,8,30,46.9,,,855-2,31710,7
136,,2007,,,2012,범서읍 구영리,"1,870",구영1주공,1,15,30,51.79,,,212,31710,14
137,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,4
138,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,30,46.9,,,855-2,31710,12
139,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,31,46.9,,,855-2,31710,4
140,,2007,,,2012,범서읍 구영리,"1,677",구영2주공,1,14,31,46.9,,,855-2,31710,12
141,,1999,,,2012,청량읍 삼정리,"8,000",쌍용하나빌리지,1,0,13,59.94,,,755,31710,9
142,,2004,,,2012,삼남읍 교동리,"6,000",수산로얄팰리스,1,0,6,84.42,,,1348-3,31710,8
143,,1993,,,2012,서생면 진하리,"4,500",진하비치,1,0,5,68.7,,,73-3,31710,3
144,,1997,,,2012,웅촌면 대복리,"2,500",한솔그린빌,1,15,10,49.93,,,302,31710,5
145,,1997,,,2012,웅촌면 대복리,"1,500",한솔그린빌,1,25,11,49.93,,,302,31710,17
146,,1997,,,2012,웅촌면 대복리,"1,000",한솔그린빌,1,30,19,49.93,,,302,31710,19
147,,1992,,,2012,상북면 천전리,"5,500",경동청구타운,1,0,8,59.73,,,532-19,31710,9
148,,1992,,,2012,상북면 천전리,"5,000",경동청구타운,1,0,25,59.73,,,532-19,31710,1
149,,1990,,,2012,상북면 향산리,"3,300",청구가든,1,3,4,51.51,,,603-22,31710,4
0,,1996,,,2012,온산읍 덕신리,"2,500",덕신동백,2,20,4,49.85,,,1329-4,31710,11
1,,1992,,,2012,온산읍 덕신리,"3,000",덕신주공,2,0,6,39.99,,,1329-5,31710,6
2,,1992,,,2012,온산읍 덕신리,700,덕신주공,2,25,10,39.6,,,1329-5,31710,2
3,,1996,,,2012,온산읍 덕신리,"4,500",덕신동백,2,0,14,49.85,,,1329-4,31710,12
4,,1997,,,2012,온산읍 덕신리,"8,000",온산동원아파트1차,2,0,16,59.94,,,1329-2,31710,15
5,,1992,,,2012,온산읍 덕신리,"5,000",덕신동백,2,0,17,49.85,,,1329-4,31710,10
6,,2003,,,2012,온산읍 덕신리,"8,000",온산동원아파트2차,2,0,26,73.098,,,1329-2,31710,5
7,,2003,,,2012,온산읍 덕신리,"6,000",온산동원아파트2차,2,0,29,84.9,,,1329-2,31710,6
8,,1997,,,2012,온산읍 덕신리,"8,000",온산동원아파트1차,2,0,29,59.94,,,1329-2,31710,15
9,,1995,,,2012,언양읍 반송리,"1,500",반송대방타운,2,15,1,59.54,,,425-6,31710,8
10,,1994,,,2012,언양읍 반천리,"4,000",반천현대,2,30,9,84.98,,,1023-51,31710,3
11,,1994,,,2012,언양읍 반천리,"2,000",반천현대,2,35,12,77.43,,,1023-51,31710,17
12,,1994,,,2012,언양읍 반천리,"1,500",반천현대,2,40,15,77.43,,,1023-51,31710,10
13,,1995,,,2012,언양읍 반천리,"6,000",반천현대,2,0,17,59.75,,,1023-51,31710,20
14,,1994,,,2012,언양읍 반천리,"8,000",반천현대,2,0,18,84.89,,,1023-51,31710,2
15,,1994,,,2012,언양읍 반천리,"1,000",반천현대,2,40,23,59.75,,,1023-51,31710,4
16,,1995,,,2012,언양읍 반천리,"5,500",반천현대,2,0,25,59.75,,,1023-51,31710,13
17,,1994,,,2012,언양읍 반천리,"1,000",반천현대,2,45,25,77.43,,,1023-51,31710,15
18,,1994,,,2012,언양읍 반천리,"7,000",반천현대,2,0,27,84.89,,,1023-51,31710,3
19,,1997,,,2012,언양읍 어음리,"2,000",장원그랜즈,2,20,27,58.34,,,253,31710,14
20,,1999,,,2012,언양읍 동부리,"3,000",언양동부주공,2,25,9,49.85,,,360-1,31710,9
21,,2010,,,2012,언양읍 동부리,"9,000",신울산경남아너스빌,2,0,9,84.7195,,,498,31710,1
22,,2010,,,2012,언양읍 동부리,"13,000",신울산경남아너스빌,2,0,9,84.7195,,,498,31710,10
23,,2010,,,2012,언양읍 동부리,"9,000",신울산경남아너스빌,2,0,11,118.3019,,,498,31710,12
24,,1999,,,2012,언양읍 동부리,"6,500",언양동부주공,2,0,15,49.85,,,360-1,31710,12
25,,2010,,,2012,언양읍 동부리,"15,000",신울산경남아너스빌,2,0,15,118.3019,,,498,31710,10
26,,1999,,,2012,언양읍 동부리,"6,000",언양동부주공,2,0,21,49.85,,,360-1,31710,7
27,,2000,,,2012,언양읍 서부리,500,근훈하나원룸,2,25,20,39.14,,,242-3,31710,3
28,,1996,,,2012,언양읍 서부리,"8,000",삼성아파트,2,0,20,59.91,,,236,31710,18
29,,1996,,,2012,언양읍 서부리,"7,000",삼성아파트,2,0,20,59.91,,,236,31710,18
30,,1981,,,2012,언양읍 서부리,"4,000",언양맨션,2,0,20,53.92,,,177-1,31710,2
31,,1993,,,2012,온양읍 대안리,"7,500",미도파,2,0,1,59.76,,,417,31710,14
32,,1992,,,2012,온양읍 대안리,"6,500",우주그린가든,2,0,2,59.58,,,266-2,31710,11
33,,1992,,,2012,온양읍 대안리,"6,500",우주그린가든,2,0,4,59.58,,,266-2,31710,9
34,,1993,,,2012,온양읍 대안리,"3,000",미도파,2,25,10,59.76,,,417,31710,3
35,,1993,,,2012,온양읍 대안리,"5,000",미도파,2,20,11,59.76,,,417,31710,8
36,,1998,,,2012,온양읍 대안리,"8,000",울산온양대우,2,10,12,71.819,,,196,31710,8
37,,1993,,,2012,온양읍 대안리,"3,000",미도파,2,25,14,59.76,,,417,31710,7
38,,1992,,,2012,온양읍 대안리,"5,500",우주그린가든,2,0,18,59.58,,,266-2,31710,3
39,,1993,,,2012,온양읍 대안리,"6,500",한그린,2,0,20,72.54,,,409-3,31710,4
40,,1993,,,2012,온양읍 대안리,"7,000",상아해미안1차,2,0,20,59.4,,,400-1,31710,2
41,,1998,,,2012,온양읍 대안리,"9,000",울산온양대우,2,0,20,59.95,,,196,31710,11
42,,1993,,,2012,온양읍 대안리,"8,500",미도파,2,0,22,59.76,,,417,31710,12
43,,1993,,,2012,온양읍 대안리,"7,500",미도파,2,0,22,59.76,,,417,31710,3
44,,1992,,,2012,온양읍 대안리,"7,500",석영타워,2,0,23,69.63,,,563-7,31710,15
45,,1993,,,2012,온양읍 대안리,"4,000",대안IPARK,2,0,23,59.925,,,542,31710,3
46,,1993,,,2012,온양읍 대안리,"9,000",대안IPARK,2,0,23,84.88,,,542,31710,12
47,,1993,,,2012,온양읍 대안리,"10,000",미도파,2,0,28,84.905,,,417,31710,13
48,,1998,,,2012,온양읍 대안리,"7,700",울산온양대우,2,0,29,59.95,,,196,31710,3
49,,1991,,,2012,온양읍 대안리,"6,800",남창럭키,2,0,29,52.56,,,575,31710,9
50,,1992,,,2012,온양읍 대안리,"5,000",우주그린가든,2,0,29,59.58,,,266-2,31710,7
51,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,1,39.715,,,가-5-1,31710,10
52,,2000,,,2012,온양읍 망양리,"2,000",회야리버,2,10,1,39.715,,,가-5-1,31710,6
53,,2000,,,2012,온양읍 망양리,"2,800",회야리버,2,0,2,39.715,,,가-5-1,31710,5
54,,2000,,,2012,온양읍 망양리,"3,500",회야리버,2,0,3,45.073,,,가-5-1,31710,9
55,,2000,,,2012,온양읍 망양리,"1,000",회야리버,2,30,4,45.073,,,가-5-1,31710,14
56,,2000,,,2012,온양읍 망양리,"2,000",회야리버,2,15,6,45.073,,,가-5-1,31710,10
57,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,7,39.715,,,가-5-1,31710,15
58,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,8,39.715,,,가-5-1,31710,5
59,,2000,,,2012,온양읍 망양리,"3,500",회야리버,2,0,14,45.073,,,가-5-1,31710,6
60,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,15,39.715,,,가-5-1,31710,3
61,,2000,,,2012,온양읍 망양리,"3,500",회야리버,2,0,15,45.073,,,가-5-1,31710,7
62,,2000,,,2012,온양읍 망양리,"1,680",회야리버,2,11,20,39.715,,,가-5-1,31710,11
63,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,20,39.715,,,가-5-1,31710,3
64,,2000,,,2012,온양읍 망양리,"3,000",회야리버,2,0,21,39.715,,,가-5-1,31710,11
65,,2000,,,2012,온양읍 망양리,"3,100",회야리버,2,0,23,45.073,,,가-5-1,31710,9
66,,2000,,,2012,온양읍 망양리,"1,984",회야리버,2,11,29,45.073,,,가-5-1,31710,10
67,,1987,,,2012,온양읍 운화리,"2,000",운화,2,30,7,56.21,,,6-6,31710,5
68,,1994,,,2012,온양읍 운화리,"6,500",영원,2,0,13,59.95,,,14,31710,8
69,,1990,,,2012,온양읍 운화리,"4,000",위드,2,0,14,51.3725,,,163-22,31710,5
70,,1990,,,2012,온양읍 운화리,"5,500",위드,2,0,19,51.375,,,163-22,31710,3
71,,1990,,,2012,온양읍 운화리,"6,000",위드,2,0,20,51.3725,,,163-22,31710,3
72,,1992,,,2012,온양읍 운화리,"6,000",태영그린,2,0,25,55.32,,,8-7,31710,7
73,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,2,0,1,59.961,,,324-2,31710,6
74,,2001,,,2012,범서읍 천상리,"2,000",천상국태그린빌,2,37,3,49.936,,,605,31710,6
75,,1998,,,2012,범서읍 천상리,"6,500",청구(천상그린타운)1차,2,30,4,84.86,,,578,31710,7
76,,2000,,,2012,범서읍 천상리,"8,000",청구(천상그린타운)2차,2,0,5,59.82,,,574-1,31710,6
77,,2001,,,2012,범서읍 천상리,"9,000",경동태원하이빌,2,0,5,59.961,,,324-2,31710,17
78,,1998,,,2012,범서읍 천상리,"8,500",천상동아,2,0,6,59.67,,,299-1,31710,2
79,,2000,,,2012,범서읍 천상리,"7,000",청구(천상그린타운)2차,2,0,7,59.82,,,574-1,31710,21
80,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,2,0,7,59.961,,,324-2,31710,5
81,,1998,,,2012,범서읍 천상리,"11,000",천상극동,2,0,8,84.84,,,259-5,31710,14
82,,2001,,,2012,범서읍 천상리,"1,000",천상국태그린빌,2,40,9,49.98,,,605,31710,1
83,,1998,,,2012,범서읍 천상리,"12,000",천상극동,2,0,9,84.84,,,259-5,31710,20
84,,1998,,,2012,범서읍 천상리,"8,200",청구(천상그린타운)1차,2,0,9,59.84,,,578,31710,20
85,,1999,,,2012,범서읍 천상리,"11,000",그린코아,2,0,10,78.48,,,600,31710,1
86,,1999,,,2012,범서읍 천상리,"8,800",그린코아,2,0,11,59.22,,,600,31710,9
87,,1998,,,2012,범서읍 천상리,"2,000",천상극동,2,45,13,59.88,,,259-5,31710,10
88,,1998,,,2012,범서읍 천상리,"8,500",천상동아,2,0,15,59.67,,,299-1,31710,5
89,,2001,,,2012,범서읍 천상리,500,경동태원하이빌,2,40,15,39.69,,,324-2,31710,10
90,,1998,,,2012,범서읍 천상리,"12,000",청구(천상그린타운)1차,2,0,15,84.86,,,578,31710,11
91,,1998,,,2012,범서읍 천상리,"1,000",청구(천상그린타운)1차,2,65,16,84.86,,,578,31710,12
92,,1998,,,2012,범서읍 천상리,"9,000",천상동아,2,0,17,59.67,,,299-1,31710,11
93,,1998,,,2012,범서읍 천상리,"2,000",천상동아,2,60,17,84.74,,,299-1,31710,2
94,,2001,,,2012,범서읍 천상리,"6,500",천상국태그린빌,2,0,17,49.98,,,605,31710,1
95,,1998,,,2012,범서읍 천상리,"9,500",한라그린피스,2,0,18,59.58,,,646,31710,6
96,,1998,,,2012,범서읍 천상리,"6,000",청구(천상그린타운)1차,2,10,19,59.84,,,578,31710,12
97,,2002,,,2012,범서읍 천상리,"10,000",청구제네스,2,0,20,60,,,651,31710,14
98,,1998,,,2012,범서읍 천상리,"10,000",청구(천상그린타운)1차,2,0,20,59.84,,,578,31710,8
99,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,2,0,20,59.961,,,324-2,31710,17
100,,2001,,,2012,범서읍 천상리,"8,000",경동태원하이빌,2,0,20,59.961,,,324-2,31710,6
101,,1999,,,2012,범서읍 천상리,"2,000",그린코아,2,50,21,84.85,,,600,31710,1
102,,1998,,,2012,범서읍 천상리,"9,000",천상극동,2,0,23,84.84,,,259-5,31710,3
103,,1998,,,2012,범서읍 천상리,"8,500",청구(천상그린타운)1차,2,0,23,59.84,,,578,31710,4
104,,1998,,,2012,범서읍 천상리,"6,000",청구(천상그린타운)1차,2,20,24,59.84,,,578,31710,20
105,,1998,,,2012,범서읍 천상리,"8,000",청구(천상그린타운)1차,2,0,24,59.84,,,578,31710,25
106,,2000,,,2012,범서읍 천상리,"8,500",청구(천상그린타운)2차,2,0,27,77.28,,,574-1,31710,2
107,,2001,,,2012,범서읍 천상리,"8,500",경동태원하이빌,2,0,29,59.961,,,324-2,31710,11
108,,1998,,,2012,범서읍 천상리,"6,500",한라그린피스,2,20,29,73.8,,,646,31710,5
109,,1999,,,2012,범서읍 천상리,"9,500",벽산,2,0,29,59.925,,,666-1,31710,15
110,,2001,,,2012,범서읍 천상리,"7,500",천상국태그린빌,2,0,29,49.936,,,605,31710,14
111,,2002,,,2012,범서읍 굴화리,"10,000",강변그린빌(7-1),2,0,2,84.99,,,7-1,31710,2
112,,2001,,,2012,범서읍 굴화리,"17,500",장검한라아트빌,2,0,3,84.943,,,245,31710,15
